player,year,draft_pick,height,wingspan,vertical,weight,agility,sprint
E'Twaun Moore,2011,55.0,76.0,81.5,34.5,191.0,11.12,3.31
Isaiah Thomas,2011,60.0,70.25,73.75,40.0,186.0,10.49,3.14
Brandon Knight,2011,8.0,75.25,78.75,37.5,177.0,10.74,3.07
Kemba Walker,2011,9.0,73.0,75.5,39.5,184.0,10.87,3.16
Anthony Davis,2012,1.0,82.5,89.5,35.13666666666666,222.0,11.33024774774775,3.299663677130045
Austin Rivers,2012,10.0,77.0,79.25,37.5,203.0,11.54,3.32
Meyers Leonard,2012,11.0,85.25,87.0,32.5,250.0,11.34,3.41
Jeremy Lamb,2012,12.0,77.25,83.0,38.0,179.0,10.98,3.25
Kendall Marshall,2012,13.0,76.25,77.5,37.0,198.0,12.03,3.23
John Henson,2012,14.0,82.5,89.0,30.0,216.0,11.33024774774775,3.299663677130045
Moe Harkless,2012,15.0,80.75,84.0,37.0,207.0,10.87,3.25
Royce White,2012,16.0,80.0,84.0,35.13666666666666,261.0,11.33024774774775,3.299663677130045
Tyler Zeller,2012,17.0,84.5,84.0,34.0,247.0,11.13,3.4
Terrence Jones,2012,18.0,81.5,86.25,34.5,252.0,11.57,3.4
Andrew Nicholson,2012,19.0,81.5,88.0,30.5,234.0,11.89,3.67
Michael Kidd-Gilchrist,2012,2.0,79.5,84.0,35.5,233.0,11.77,3.18
Jared Sullinger,2012,21.0,81.0,85.25,31.0,268.0,12.77,3.81
Fab Melo,2012,22.0,84.0,86.5,31.0,255.0,12.14,3.44
John Jenkins,2012,23.0,76.25,80.5,36.5,212.0,11.36,3.37
Jared Cunningham,2012,24.0,77.0,78.5,35.13666666666666,188.0,11.33024774774775,3.299663677130045
Tony Wroten,2012,25.0,78.0,81.0,35.5,203.0,10.75,3.24
Miles Plumlee,2012,26.0,83.75,84.75,40.5,252.0,10.64,3.36
Arnett Moultrie,2012,27.0,82.75,86.25,37.5,233.0,11.32,3.22
Perry Jones,2012,28.0,83.25,85.75,38.5,234.0,11.31,3.19
Marquis Teague,2012,29.0,74.0,79.25,40.5,180.0,10.65,3.19
Bradley Beal,2012,3.0,76.75,80.0,39.0,202.0,10.95,3.28
Festus Ezeli,2012,30.0,83.5,89.75,33.5,264.0,12.35,3.29
Jeff Taylor,2012,31.0,79.25,78.25,40.0,213.0,10.87,3.29
Tomas Satoransky,2012,32.0,79.5,79.25,35.13666666666666,201.0,11.33024774774775,3.299663677130045
Bernard James,2012,33.0,82.0,87.0,32.5,230.0,11.84,3.4
Jae Crowder,2012,34.0,78.5,81.25,34.5,241.0,11.45,3.37
Draymond Green,2012,35.0,79.5,85.25,33.0,236.0,11.01,3.4
Orlando Johnson,2012,36.0,77.25,83.25,39.5,224.0,10.98,3.25
Quincy Acy,2012,37.0,79.75,86.75,37.0,224.0,10.48,3.28
Quincy Miller,2012,38.0,82.0,85.25,36.0,219.0,11.05,3.48
Khris Middleton,2012,39.0,80.25,82.75,31.0,216.0,11.45,3.47
Dion Waiters,2012,4.0,76.0,79.25,35.13666666666666,221.0,11.33024774774775,3.299663677130045
Will Barton,2012,40.0,78.0,81.75,34.0,174.0,12.5,3.6
Tyshawn Taylor,2012,41.0,76.0,78.25,36.5,177.0,11.48,3.2
Doron Lamb,2012,42.0,76.75,78.75,33.5,199.0,11.12,3.41
Mike Scott,2012,43.0,80.75,82.75,32.5,241.0,11.59,3.44
Kim English,2012,44.0,77.75,78.5,36.5,192.0,10.59,3.33
