player,pos,age,tm,g,mp,fg,fg%,3p,3p%,2p,2p%,efg%,ft,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,division
Paul Reed,C,23,PHI,47,9.5,1.3,0.573,0.0,0.0,1.3,0.594,0.573,0.4,0.75,1.2,1.9,3.1,0.3,0.6,0.6,0.6,1.8,3.1,atlantico
Naz Reid,C,23,MIN,55,18.1,4.3,0.529,1.0,0.329,3.2,0.658,0.594,1.1,0.667,1.1,3.7,4.9,1.1,0.6,0.9,1.3,2.5,10.6,noroeste
Jared Rhoden,SG,23,DET,1,12.0,1.0,0.333,0.0,0.0,1.0,0.5,0.333,0.0,0.7460646853146854,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,central
Nick Richards,C,25,CHO,48,17.4,3.0,0.607,0.0,0.3302053872053872,3.0,0.607,0.607,2.1,0.733,2.4,3.4,5.8,0.5,0.2,1.0,0.8,2.3,8.0,sudeste
Josh Richardson,SG,29,TOT,47,24.2,4.2,0.439,1.7,0.349,2.5,0.535,0.529,1.3,0.861,0.7,2.1,2.8,3.2,1.2,0.3,1.5,1.9,11.4,atlantico
Josh Richardson,SG,29,SAS,42,23.7,4.2,0.436,1.8,0.357,2.5,0.518,0.527,1.3,0.883,0.7,2.1,2.8,3.3,1.0,0.3,1.5,1.7,11.5,sudoeste
Josh Richardson,SG,29,NOP,5,28.4,3.8,0.475,1.2,0.273,2.6,0.722,0.55,1.8,0.75,0.2,2.2,2.4,2.8,3.2,0.6,1.2,3.8,10.6,sudoeste
Austin Rivers,SG,30,MIN,48,20.8,1.9,0.446,0.9,0.355,1.0,0.578,0.551,0.6,0.769,0.1,1.6,1.7,1.5,0.6,0.1,0.5,1.7,5.3,noroeste
Duncan Robinson,SF,28,MIA,31,17.7,2.2,0.356,1.6,0.32,0.6,0.514,0.487,0.6,0.909,0.3,1.6,1.9,1.2,0.4,0.0,0.7,2.0,6.5,sudeste
Mitchell Robinson,C,24,NYK,41,27.1,3.2,0.696,0.0,0.3302053872053872,3.2,0.696,0.696,1.0,0.482,4.2,4.9,9.2,0.9,0.9,1.8,0.5,2.9,7.5,atlantico
Orlando Robinson,C,22,MIA,29,13.7,1.6,0.535,0.0,0.0,1.6,0.568,0.535,0.7,0.724,1.5,2.6,4.1,0.7,0.4,0.4,0.5,1.8,3.9,sudeste
Jeremiah Robinson-Earl,PF,22,OKC,31,20.1,2.9,0.464,1.0,0.341,2.0,0.565,0.541,0.9,0.794,1.8,2.8,4.5,1.0,0.7,0.4,0.5,1.7,7.7,noroeste
Isaiah Roby,PF,24,SAS,42,11.3,1.6,0.432,0.4,0.3,1.2,0.516,0.49,0.5,0.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1,sudoeste
David Roddy,PF,21,MEM,48,17.4,2.4,0.421,0.8,0.292,1.6,0.551,0.495,0.6,0.625,0.6,2.0,2.6,0.6,0.5,0.3,0.9,1.5,6.3,sudoeste
Ryan Rollins,PG,20,GSW,12,5.2,0.6,0.35,0.3,0.333,0.3,0.364,0.425,0.5,1.0,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9,pacifico
Derrick Rose,PG,34,NYK,27,12.5,2.3,0.384,0.7,0.302,1.6,0.438,0.443,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6,atlantico
Terrence Ross,SG,31,TOT,45,22.4,3.2,0.433,1.5,0.373,1.7,0.503,0.534,0.4,0.727,0.2,1.9,2.2,1.3,0.6,0.2,0.8,1.4,8.1,atlantico
Terrence Ross,SG,31,ORL,42,22.5,3.1,0.431,1.5,0.381,1.6,0.489,0.533,0.4,0.75,0.2,1.8,2.0,1.3,0.6,0.2,0.9,1.3,8.0,sudeste
Terrence Ross,SG,31,PHO,3,21.7,4.3,0.448,1.7,0.294,2.7,0.667,0.534,0.3,0.5,0.3,3.7,4.0,2.0,0.3,0.0,0.0,2.7,10.7,pacifico
Terry Rozier,SG,28,CHO,52,35.6,7.9,0.414,2.7,0.329,5.2,0.478,0.484,2.9,0.827,0.9,3.3,4.2,4.8,1.1,0.3,2.1,1.9,21.4,sudeste
Ricky Rubio,PG,32,CLE,16,16.7,1.7,0.307,0.8,0.265,0.9,0.359,0.381,0.9,0.75,0.3,2.1,2.3,3.5,1.1,0.1,0.8,1.6,5.1,central
D'Angelo Russell,PG,26,TOT,58,32.4,6.2,0.464,2.7,0.389,3.5,0.543,0.564,2.6,0.85,0.5,2.6,3.1,6.1,1.1,0.4,2.6,2.1,17.6,atlantico
D'Angelo Russell,PG,26,MIN,54,32.9,6.3,0.465,2.7,0.391,3.5,0.546,0.567,2.6,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9,noroeste
D'Angelo Russell,PG,26,LAL,4,24.8,4.8,0.442,1.5,0.353,3.3,0.5,0.512,2.5,0.769,0.5,3.0,3.5,5.0,0.3,0.0,1.5,1.3,13.5,pacifico
Matt Ryan,SF,25,TOT,32,9.5,1.3,0.374,1.0,0.386,0.3,0.333,0.523,0.3,0.833,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,3.8,atlantico
Matt Ryan,SF,25,LAL,12,10.8,1.3,0.306,1.1,0.371,0.2,0.143,0.439,0.3,0.8,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,3.9,pacifico
Matt Ryan,SF,25,MIN,20,8.7,1.3,0.431,1.0,0.396,0.3,0.6,0.595,0.3,0.857,0.1,0.5,0.6,0.6,0.2,0.1,0.2,0.7,3.8,noroeste
Domantas Sabonis,C,26,SAC,58,34.5,7.1,0.611,0.4,0.348,6.6,0.642,0.629,4.2,0.767,3.0,9.4,12.4,6.9,0.9,0.4,3.0,3.7,18.7,pacifico
Dario Å ariÄ‡,PF,28,TOT,41,14.1,2.0,0.432,0.7,0.39,1.3,0.461,0.51,1.0,0.843,1.0,2.7,3.7,1.5,0.3,0.1,1.0,1.9,5.8,atlantico
Dario Å ariÄ‡,PF,28,PHO,37,14.4,2.1,0.427,0.7,0.391,1.3,0.45,0.503,1.0,0.818,1.1,2.8,3.8,1.5,0.4,0.1,1.0,1.9,5.8,pacifico
Dario Å ariÄ‡,PF,28,OKC,4,11.5,1.8,0.5,0.8,0.375,1.0,0.667,0.607,1.8,1.0,0.8,2.0,2.8,0.8,0.3,0.0,1.5,1.8,6.0,noroeste
Jordan Schakel,SF,24,WAS,2,3.0,0.5,0.5,0.5,1.0,0.0,0.0,0.75,0.0,0.7460646853146854,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,sudeste
Admiral Schofield,PF,25,ORL,28,12.6,1.6,0.478,0.6,0.333,0.9,0.684,0.576,0.6,0.895,0.7,1.2,1.9,0.8,0.2,0.1,0.2,1.9,4.4,sudeste
Dennis SchrÃ¶der,PG,29,LAL,47,30.7,4.0,0.424,1.2,0.342,2.9,0.47,0.485,3.2,0.873,0.3,2.3,2.5,4.3,0.7,0.1,1.6,2.2,12.5,pacifico
Dereon Seabron,SG,22,NOP,5,2.4,0.4,0.4,0.0,0.3302053872053872,0.4,0.4,0.4,0.0,0.7460646853146854,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,sudoeste
Alperen ÅžengÃ¼n,C,20,HOU,55,28.1,5.9,0.554,0.2,0.333,5.7,0.57,0.565,3.0,0.751,3.2,5.5,8.8,3.8,0.8,0.9,2.5,3.4,15.0,sudoeste
Collin Sexton,SG,24,UTA,47,24.0,4.9,0.507,1.0,0.41,3.9,0.54,0.559,3.4,0.822,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,noroeste
Landry Shamet,SG,25,PHO,30,21.4,3.1,0.38,2.0,0.377,1.0,0.388,0.506,1.4,0.911,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,9.5,pacifico
Day'Ron Sharpe,C,21,BRK,33,10.4,1.7,0.545,0.1,0.667,1.5,0.537,0.564,0.5,0.593,1.7,2.2,3.8,0.8,0.2,0.5,0.9,1.9,3.9,atlantico
Shaedon Sharpe,SG,19,POR,59,20.2,3.2,0.471,1.0,0.347,2.2,0.561,0.544,0.5,0.667,0.8,1.7,2.5,0.6,0.4,0.3,0.7,1.6,7.9,noroeste
Pascal Siakam,C,28,TOR,52,37.5,9.1,0.479,1.4,0.349,7.6,0.515,0.517,5.7,0.768,1.8,5.9,7.7,6.1,0.8,0.6,2.5,3.3,25.3,atlantico
Chris Silva,PF,26,DAL,1,3.0,1.0,1.0,0.0,0.3302053872053872,1.0,1.0,1.0,0.0,0.7460646853146854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,sudoeste
Ben Simmons,PG,26,BRK,42,26.3,3.2,0.566,0.0,0.0,3.2,0.571,0.566,0.6,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,atlantico
Marko Simonovic,C,23,CHI,3,1.7,0.0,0.0,0.0,0.0,0.0,0.5301821138211382,0.0,0.0,0.7460646853146854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,central
Anfernee Simons,SG,23,POR,56,35.5,7.6,0.45,3.5,0.381,4.1,0.532,0.553,2.6,0.913,0.3,2.4,2.7,4.2,0.7,0.2,2.2,2.4,21.4,noroeste
Jericho Sims,C,24,NYK,48,16.1,1.7,0.769,0.0,0.0,1.7,0.777,0.769,0.3,0.75,1.9,2.9,4.8,0.5,0.3,0.6,0.5,1.9,3.6,atlantico
Marcus Smart,PG,28,BOS,45,32.3,4.1,0.426,1.8,0.329,2.3,0.547,0.517,1.4,0.768,0.7,2.8,3.5,6.8,1.4,0.4,2.4,2.6,11.3,atlantico
Dennis Smith Jr.,PG,25,CHO,41,25.3,3.4,0.425,0.4,0.218,3.0,0.49,0.451,1.3,0.761,0.4,2.3,2.7,4.4,1.4,0.4,1.5,2.2,8.5,sudeste
Dru Smith,SG,25,TOT,8,12.1,1.3,0.435,0.3,0.2,1.0,0.615,0.478,0.0,0.7460646853146854,0.1,1.8,1.9,1.3,1.0,0.4,0.3,1.6,2.8,atlantico
Dru Smith,SG,25,MIA,5,13.4,1.0,0.357,0.2,0.167,0.8,0.5,0.393,0.0,0.7460646853146854,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,2.2,sudeste
Dru Smith,SG,25,BRK,3,10.0,1.7,0.556,0.3,0.25,1.3,0.8,0.611,0.0,0.7460646853146854,0.0,2.0,2.0,1.7,1.3,0.0,0.3,1.0,3.7,atlantico
Ish Smith,PG,34,DEN,31,10.2,1.4,0.424,0.1,0.333,1.3,0.43,0.434,0.0,0.5,0.1,1.3,1.4,2.4,0.2,0.2,1.2,0.9,2.8,noroeste
Jabari Smith Jr.,PF,19,HOU,57,30.1,4.2,0.384,1.6,0.297,2.6,0.464,0.455,2.0,0.788,1.3,5.8,7.1,1.2,0.5,1.0,1.5,2.9,12.0,sudoeste
Jalen Smith,PF,22,IND,52,18.2,3.4,0.46,0.8,0.276,2.6,0.58,0.514,1.5,0.76,1.8,3.8,5.6,0.9,0.3,0.8,1.1,2.1,9.0,central
Jeremy Sochan,PF,19,SAS,49,26.0,4.1,0.448,0.6,0.261,3.6,0.509,0.48,1.3,0.695,1.7,3.2,4.9,2.5,0.7,0.4,1.7,2.5,10.2,sudoeste
Jaden Springer,SG,20,PHI,7,3.7,1.0,0.583,0.0,0.3302053872053872,1.0,0.583,0.583,0.4,0.75,0.6,0.4,1.0,0.1,0.3,0.3,0.1,1.0,2.4,atlantico
Lamar Stevens,PF,25,CLE,45,17.4,2.0,0.457,0.4,0.303,1.6,0.534,0.508,0.6,0.718,0.6,2.4,3.0,0.6,0.4,0.3,0.5,1.2,5.1,central
Isaiah Stewart,C,21,DET,50,28.3,3.9,0.442,1.3,0.327,2.6,0.542,0.518,2.2,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,central
Max Strus,SF,26,MIA,60,29.9,4.3,0.399,2.5,0.336,1.8,0.55,0.517,1.2,0.875,0.7,2.8,3.6,2.2,0.6,0.2,1.0,2.2,12.3,sudeste
Jalen Suggs,PG,21,ORL,37,23.0,3.3,0.411,1.1,0.304,2.2,0.503,0.482,1.6,0.707,0.9,1.9,2.8,3.3,1.2,0.5,1.9,2.4,9.4,sudeste
Edmond Sumner,SG,27,BRK,46,14.5,2.5,0.459,0.6,0.346,1.8,0.515,0.516,1.9,0.926,0.2,1.3,1.6,1.4,0.7,0.2,1.0,1.7,7.4,atlantico
Cole Swider,SF,23,LAL,6,6.7,0.5,0.333,0.5,0.375,0.0,0.0,0.5,0.0,0.7460646853146854,0.2,1.0,1.2,0.7,0.0,0.0,0.0,0.5,1.5,pacifico
Jae'Sean Tate,SF,27,HOU,22,21.5,3.4,0.468,0.4,0.29,3.0,0.512,0.497,1.3,0.667,1.5,2.2,3.7,2.6,0.6,0.2,1.6,3.3,8.4,sudoeste
Jayson Tatum,PF,24,BOS,58,37.3,9.8,0.46,3.3,0.351,6.5,0.544,0.536,7.2,0.864,1.1,7.6,8.7,4.7,1.0,0.8,3.0,2.1,30.1,atlantico
Terry Taylor,PF,23,TOT,27,8.6,1.2,0.478,0.1,0.222,1.0,0.571,0.507,0.2,0.714,0.8,0.6,1.4,0.4,0.1,0.2,0.3,0.9,2.7,atlantico
Terry Taylor,PF,23,IND,26,8.8,1.2,0.462,0.2,0.222,1.0,0.553,0.492,0.2,0.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7,central
Terry Taylor,PF,23,CHI,1,4.0,2.0,1.0,0.0,0.3302053872053872,2.0,1.0,1.0,0.0,0.7460646853146854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,central
Garrett Temple,SG,36,NOP,19,7.0,0.8,0.405,0.5,0.429,0.3,0.375,0.527,0.2,0.75,0.1,0.5,0.6,0.5,0.5,0.1,0.2,0.7,2.2,sudoeste
Dalen Terry,SG,20,CHI,25,5.1,0.7,0.45,0.2,0.333,0.5,0.52,0.513,0.2,0.5,0.3,0.5,0.8,0.6,0.2,0.2,0.2,0.4,1.8,central
Daniel Theis,C,30,IND,7,15.6,3.0,0.477,0.3,0.182,2.7,0.576,0.5,0.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0,central
Cam Thomas,SG,21,BRK,43,17.2,3.7,0.454,0.9,0.412,2.8,0.47,0.511,3.0,0.85,0.2,1.5,1.7,1.6,0.4,0.1,1.0,1.0,11.3,atlantico
Klay Thompson,SG,32,GSW,49,32.7,7.9,0.428,4.4,0.408,3.5,0.456,0.548,1.9,0.892,0.7,3.3,3.9,2.4,0.7,0.3,1.7,2.0,22.1,pacifico
JT Thor,PF,20,CHO,50,11.2,0.9,0.373,0.3,0.258,0.6,0.484,0.437,0.4,0.621,0.5,1.2,1.7,0.4,0.3,0.2,0.4,0.8,2.6,sudeste
Matisse Thybulle,SG,25,TOT,53,13.4,1.2,0.436,0.5,0.354,0.6,0.541,0.536,0.2,0.692,0.4,1.0,1.5,0.6,1.0,0.3,0.2,1.5,3.0,atlantico
Matisse Thybulle,SG,25,PHI,49,12.1,1.0,0.431,0.4,0.333,0.6,0.547,0.522,0.2,0.75,0.4,0.9,1.3,0.5,0.9,0.3,0.2,1.3,2.7,atlantico
Matisse Thybulle,SG,25,POR,4,29.8,2.8,0.458,1.8,0.438,1.0,0.5,0.604,0.0,0.0,0.5,3.0,3.5,1.8,2.3,1.0,0.8,3.8,7.3,noroeste
Xavier Tillman Sr.,PF,24,MEM,40,15.4,2.3,0.612,0.1,0.3,2.2,0.635,0.622,0.8,0.517,1.8,2.3,4.1,1.2,0.8,0.4,0.6,1.3,5.4,sudoeste
Isaiah Todd,PF,21,WAS,4,3.3,0.3,0.25,0.0,0.0,0.3,1.0,0.25,0.0,0.7460646853146854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,sudeste
Obi Toppin,PF,24,NYK,48,14.8,2.3,0.414,1.1,0.346,1.2,0.514,0.517,0.5,0.758,0.5,2.6,3.1,0.8,0.3,0.2,0.5,1.0,6.3,atlantico
Juan Toscano-Anderson,SF,29,TOT,33,12.6,1.1,0.486,0.2,0.217,0.9,0.608,0.52,0.3,0.733,0.5,1.8,2.3,0.9,0.4,0.2,0.6,1.6,2.7,atlantico
Juan Toscano-Anderson,SF,29,LAL,30,12.2,1.1,0.5,0.1,0.2,1.0,0.63,0.53,0.4,0.733,0.5,1.6,2.0,0.8,0.3,0.2,0.6,1.5,2.7,pacifico
