state,player,yrs
California,Jeremy Tyler,3
California,Jan Van Breda Kolff,9
California,Keith Van Horn,9
California,Nick Vanos,2
California,Jacque Vaughn,12
California,Pete Verhoeven,6
California,Brett Vroman,1
California,Jackson Vroman,2
California,Mark Wade,2
California,Bill Walton*,10
California,Luke Walton,10
California,Casper Ware,1
California,David Wear,1
California,Travis Wear,1
California,Russell Westbrook,9
California,Paul Westphal,12
California,Eric White,2
California,Sidney Wicks,10
California,Michael Wiley,2
California,Jamaal Wilkes*,12
California,Derrick Williams,6
California,Freeman Williams,6
California,Guy Williams,2
California,John Williams,8
California,Marcus Williams,4
California,Pete Williams,2
California,Sam Williams,4
California,Scott Williams,15
California,Kevin Willis,21
California,Trevor Wilson,4
California,Willie Wise,9
California,Jeff Withey,4
California,Christian Wood,2
California,Antoine Wright,6
California,Brad Wright,2
California,Delon Wright,1
California,Dorell Wright,11
California,Howard Wright,2
California,Nick Young,10
California,Tim Young,1
California,Tyler Zeller,5
Colorado,Chauncey Billups,17
Colorado,Kaniel Dickens,3
Colorado,Nick Fazekas,1
Colorado,Eddie Gill,7
Colorado,Glen Gondrezick,6
Colorado,Grant Gondrezick,2
Colorado,Tom Hovasse,1
Colorado,Joe Kleine,15
Colorado,Darrick Martin,13
Colorado,Chuck Nevitt,9
Colorado,Michael Ruffin,9
Colorado,Jason Smith,9
Colorado,Chuck Williams,8
Delaware,Dexter Boney,1
Delaware,A.J. English,2
Delaware,Joey Graham,6
Delaware,Stephen Graham,6
Delaware,Ronnie Murphy,1
Delaware,Terence Stansbury,3
DC,Thurl Bailey,12
DC,Tim Bassett,7
DC,John Battle,10
DC,Dave Bing*,12
DC,Adrian Branch,4
DC,Austin Carr,10
DC,Kenny Carr,10
DC,Jerry Chambers,6
DC,Randolph Childress,2
DC,Adrian Dantley*,15
DC,Ed Davis,7
DC,Johnny Dawkins,9
DC,Sherman Douglas,12
DC,Kevin Durant,10
DC,John Duren,3
DC,Blue Edwards,10
DC,Sharrod Ford,1
DC,Treveon Graham,1
DC,Claude Gregory,2
DC,Donald Hodge,5
DC,Mike Jackson,4
DC,Chris Johnson,3
DC,DerMarr Johnson,7
DC,Anthony Jones,3
DC,Collis Jones,4
DC,Eddie Jordan,7
DC,Tim Legler,10
DC,Cedric Lewis,1
DC,Gene Littles,6
DC,Sidney Lowe,4
DC,John Lucas III,8
DC,Bill Martin,3
DC,Roger Mason,10
DC,Mike Morrison,1
DC,Lawrence Moten,3
DC,Moochie Norris,9
DC,Patrick Patterson,7
DC,Curtis Perry,8
DC,Dominic Pressley,1
DC,Don Reid,8
DC,Bernard Robinson,3
DC,Thomas Robinson,5
DC,Craig Shelton,2
DC,Tom Sluby,1
DC,Charles Smith,3
DC,Michael Smith,7
DC,Donell Taylor,2
DC,Fatty Taylor,8
DC,Anthony Tucker,1
DC,John Turner,1
DC,Donald Washington,2
DC,Kermit Washington,10
DC,Delonte West,8
DC,James White,3
DC,Hawkeye Whitney,2
DC,Bernie Williams,5
DC,Jerome Williams,9
DC,Walt Williams,11
DC,Chris Wright,1
DC,Sam Young,4
Florida,Gary Alexander,1
Florida,Randy Allen,2
Florida,Trevor Ariza,13
Florida,Chucky Atkins,11
Florida,Vin Baker,13
Florida,Otis Birdsong,12
Florida,Steve Blake,13
Florida,Ricky Blanton,1
Florida,Tony Bobbitt,1
Florida,Alex Bradley,1
Florida,Mike Brittain,2
Florida,Dee Brown,12
Florida,Ticky Burden,3
Florida,Nick Calathes,2
Florida,Vince Carter,19
Florida,Jordan Clarkson,3
Florida,Norris Coleman,1
Florida,James Collins,1
Florida,Chris Corchiani,3
Florida,Marquis Daniels,10
Florida,Ben Davis,4
Florida,Mike Davis,1
Florida,Darryl Dawkins,14
Florida,Mickey Dillard,1
Florida,Keyon Dooling,13
Florida,Zabian Dowdell,1
Florida,Jarell Eddie,1
Florida,Doug Edwards,3
Florida,Reggie Evans,13
Florida,Daniel Ewing,2
Florida,Alonzo Gee,8
Florida,Artis Gilmore*,17
Florida,Anthony Goldwire,8
Florida,Kenny Green,2
Florida,Taurean Green,1
Florida,Orien Greene,4
Florida,Glenn Hagan,1
Florida,Tom Hammonds,12
Florida,Tim Hardaway,4
Florida,Udonis Haslem,14
Florida,Alvin Heggs,1
Florida,Jerome James,9
Florida,Tim James,3
Florida,Chris Johnson,4
Florida,Clemon Johnson,10
Florida,Eddie Johnson,10
Florida,Frank Johnson,10
Florida,Dominique Jones,3
Florida,Eddie Jones,14
Florida,James Jones,14
Florida,Jumaine Jones,8
Florida,Solomon Jones,8
Florida,Greg Kelser,6
Florida,Tarence Kinsey,3
Florida,Curtis Kitchen,1
Florida,Brandon Knight,6
Florida,Clifford Lett,2
Florida,Anthony Mason,13
Florida,Wes Matthews,9
Florida,Vernon Maxwell,13
Florida,Travis Mays,3
Florida,George McCloud,12
Florida,Tracy McGrady,15
Florida,Chandler Parsons,6
Florida,Will Perdue,13
Florida,Howard Porter,7
Florida,Ed Rains,2
Florida,Ryan Reid,1
Florida,Richard Rellford,1
Florida,Glen Rice,2
Florida,Chris Richard,2
Florida,Mitch Richmond*,14
Florida,Red Robbins,8
Florida,Rick Robey,8
Florida,David Robinson*,14
Florida,Truck Robinson,11
Florida,Tree Rollins,18
Florida,Clifford Rozier,4
Florida,Larry Sanders,5
Florida,Dwayne Schintzius,8
Florida,Tom Sewell,1
Florida,Otis Smith,6
Florida,Theron Smith,2
Florida,Marreese Speights,9
Florida,Amar'e Stoudemire,14
Florida,Jermaine Taylor,2
Florida,Jim Thomas,4
Florida,Otis Thorpe,17
Florida,David Vanterpool,1
Florida,Darius Washington,1
Florida,Lorenzo Williams,7
Georgia,Shareef Abdur-Rahim,12
Georgia,Don Adams,7
Georgia,Jordan Adams,2
Georgia,Morris Almond,3
Georgia,Al-Farouq Aminu,7
Georgia,Shandon Anderson,10
Georgia,Tate Armstrong,2
Georgia,William Avery,3
Georgia,James Bailey,9
Georgia,Malik Beasley,1
Georgia,Ray Blume,1
Georgia,Jamison Brewer,4
Georgia,Malcolm Brogdon,1
Georgia,Jaylen Brown,1
Georgia,Lorenzo Brown,3
Georgia,Raymond Brown,1
Georgia,Kentavious Caldwell-Pope,4
Georgia,Kelvin Cato,10
Georgia,Art Collins,1
Georgia,Wayne Cooper,14
Georgia,Lanard Copeland,2
Georgia,Javaris Crittenton,2
Georgia,Corey Crowder,2
Georgia,Jae Crowder,5
Georgia,Vonteego Cummings,3
Georgia,William Cunningham,2
Georgia,Jermareo Davidson,2
Georgia,Dale Davis,16
Georgia,Jacky Dorsey,3
Georgia,Toney Douglas,8
Georgia,Dale Ellis,17
Georgia,Harold Ellis,3
Georgia,Pervis Ellison,11
Georgia,Derrick Favors,7
Georgia,Gerald Fitch,1
Georgia,Joseph Forte,2
Georgia,Walt Frazier*,13
Georgia,World B. Free,13
Georgia,Mike Glenn,10
Georgia,Dion Glover,6
Georgia,Andrew Goudelock,3
Georgia,Harvey Grant,11
Georgia,Horace Grant,17
Georgia,Ken Green,1
Georgia,Derek Harper,16
Georgia,Donnell Harvey,5
Georgia,Jarvis Hayes,7
Georgia,Gar Heard,11
Georgia,Cedric Henderson,1
Georgia,J.J. Hickson,8
Georgia,Jordan Hill,8
Georgia,Wilbur Holland,4
Georgia,Dwight Howard,13
Georgia,Bernard James,3
Georgia,Dontell Jefferson,1
Georgia,Alexander Johnson,2
Georgia,Reggie Johnson,4
Georgia,DeQuan Jones,1
Georgia,Jonathan Kerner,1
Georgia,Julius Keye,6
Georgia,Frankie King,2
Georgia,Gani Lawal,1
Georgia,Travis Leslie,1
Georgia,Darrell Lockhart,1
Georgia,Jordan McRae,2
Georgia,Jodie Meeks,8
Georgia,Greg Minor,5
Georgia,Mike Mitchell,10
Georgia,Sam Mitchell,13
Georgia,Tony Mitchell,1
Georgia,Chris Morris,11
Georgia,Kevin Murphy,1
Georgia,Lloyd Neal,7
Georgia,Norm Nixon,10
Georgia,Myles Patrick,1
Georgia,Lavor Postell,3
Georgia,Tim Quarterman,1
Georgia,Luther Rackley,5
Georgia,Robert Reid,13
Georgia,Chris Robinson,2
Georgia,Jeff Sanders,4
Georgia,Jeffrey Sheppard,1
Georgia,Garret Siler,1
Georgia,Chris Singleton,3
Georgia,Derek Smith,9
Georgia,Elmore Smith,8
Georgia,Jabari Smith,4
Georgia,Josh Smith,12
Georgia,Elmore Spencer,5
Georgia,Mark Strickland,8
Georgia,Aaron Swinson,1
Georgia,Kenny Thomas,11
Georgia,Al Thornton,4
Georgia,Sedale Threatt,14
Georgia,Kenny Walker,7
Georgia,Charlie Ward,11
Georgia,Eddie Lee Wilkins,6
Georgia,Gerald Wilkins,13
Georgia,Corey Williams,2
Georgia,Dontonio Wingfield,4
Georgia,Al Wood,6
Georgia,Sharone Wright,4
Hawaii,Cedric Ceballos,11
Idaho,Steve Hayes,5
Idaho,Luke Ridnour,12
Idaho,Dale Wilkinson,1
Illinois,Mark Aguirre,13
Illinois,Cliff Alexander,1
Illinois,Tony Allen,13
Illinois,Ashraf Amaya,2
Illinois,Eric Anderson,2
Illinois,J.J. Anderson,3
Illinois,Nick Anderson,13
Illinois,Ron Anderson,10
Illinois,Jim Ard,8
Illinois,James Augustine,2
Illinois,Maurice Baker,1
Illinois,Kenny Battle,4
Illinois,Lloyd Batts,1
Illinois,Elmer Bennett,3
Illinois,Patrick Beverley,5
Illinois,Cory Blackwell,1
Illinois,Walter Bond,3
Illinois,Donnie Boyce,2
Illinois,A.J. Bramlett,1
Illinois,Brad Branson,2
Illinois,Jim Brewer,9
Illinois,Andre Brown,3
Illinois,Randy Brown,12
Illinois,Roger Brown,5
Illinois,Shannon Brown,9
Illinois,Tony Brown,7
Illinois,Quinn Buckner,10
Illinois,Will Bynum,8
Illinois,Corky Calhoun,8
Illinois,Brian Cardinal,12
Illinois,Maurice Cheeks,15
Illinois,Keon Clark,6
Illinois,Doug Collins,8
Illinois,Sherron Collins,1
Illinois,Brian Cook,9
Illinois,Norm Cook,2
Illinois,Jack Cooley,1
Illinois,Dave Corzine,13
Illinois,Robert Covington,4
Illinois,Jeff Cross,1
Illinois,Russell Cross,1
Illinois,Terry Cummings,18
Illinois,Eddy Curry,11
Illinois,Anthony Davis,5
Illinois,Todd Day,8
Illinois,Justin Dentmon,2
Illinois,Bruce Douglas,1
Illinois,Nate Driggers,1
Illinois,Kevin Duckworth,11
Illinois,Tony Dumas,4
Illinois,Acie Earl,4
Illinois,Bo Ellis,3
Illinois,LaPhonso Ellis,11
Illinois,Melvin Ely,9
Illinois,Scott English,3
Illinois,Brian Evans,3
Illinois,Michael Finley,15
Illinois,Al Fleming,1
Illinois,Donnie Freeman,9
Illinois,Chad Gallagher,1
Illinois,Kevin Gamble,10
Illinois,Kiwane Garris,2
Illinois,Kendall Gill,15
Illinois,Rickey Green,14
Illinois,Derek Grimm,1
Illinois,A.J. Guyton,3
Illinois,Mike Hall,1
Illinois,Thomas Hamilton,2
Illinois,Luke Harangody,2
Illinois,Tim Hardaway,13
Illinois,Mike Harper,2
Illinois,Billy Harris,1
Illinois,Hersey Hawkins,13
Illinois,Luther Head,6
Illinois,Phil Hicks,2
Illinois,Craig Hodges,10
Illinois,Randy Holcomb,1
Illinois,Richaun Holmes,2
Illinois,Jeff Hornacek,14
Illinois,Ed Horton,1
Illinois,Juwan Howard,19
Illinois,Troy Hudson,11
Illinois,Alfredrick Hughes,1
Illinois,Kim Hughes,6
Illinois,Steven Hunter,8
Illinois,Andre Iguodala,13
Illinois,Byron Irvin,3
Illinois,Dan Issel*,15
Illinois,Othyus Jeffers,3
Illinois,Armon Johnson,2
Illinois,Eddie Johnson,17
Illinois,Linton Johnson,6
Illinois,Mickey Johnson,12
Illinois,Reggie Jordan,6
Illinois,Frank Kaminsky,2
Illinois,Steve Kuberski,9
Illinois,C.J. Kupec,3
Illinois,Bob Lackey,2
Illinois,Sean Lampley,2
Illinois,Dan Langhi,4
Illinois,Priest Lauderdale,2
Illinois,Doug Lee,3
Illinois,Gary Leonard,3
Illinois,Jim Les,7
Illinois,Marcus Liberty,4
Illinois,DeAndre Liggins,4
Illinois,Shaun Livingston,12
Illinois,Scott Lloyd,6
Illinois,Sam Mack,7
Illinois,Corey Maggette,14
Illinois,Renaldo Major,1
Illinois,Shawn Marion,16
Illinois,Marlon Maxey,2
Illinois,Jason Maxiell,10
Illinois,Sean May,4
Illinois,Mel McCants,1
Illinois,Kelly McCarty,1
Illinois,Amal McCaskill,4
Illinois,Billy McKinney,7
Illinois,Jerel McNeal,1
Illinois,Paul McPherson,1
Illinois,Scott Meents,2
Illinois,Darius Miles,7
Illinois,Quincy Miller,3
Illinois,Nazr Mohammed,18
Illinois,Andre Moore,1
Illinois,Howard Nathan,1
Illinois,Tyrone Nesby,4
Illinois,Carl Nicks,3
Illinois,Ken Norman,10
Illinois,Steve Novak,11
Illinois,Jahlil Okafor,2
Illinois,Jawann Oldham,10
Illinois,Brian Oliver,4
Illinois,Dean Oliver,2
Illinois,Jannero Pargo,11
Illinois,Jeremy Pargo,2
Illinois,Anthony Parker,9
Illinois,Jabari Parker,3
Illinois,Sonny Parker,6
Illinois,Roger Phegley,6
Illinois,Kevin Porter,10
Illinois,Roger Powell,1
Illinois,Quentin Richardson,13
Illinois,Doc Rivers,13
Illinois,Flynn Robinson,8
Illinois,Bill Robinzine,7
Illinois,Derrick Rose,8
Illinois,Cazzie Russell,12
Illinois,Russ Schoene,4
Illinois,Iman Shumpert,6
Illinois,Jack Sikma,14
Illinois,Bobby Simmons,10
Illinois,James Singleton,5
Illinois,Al Smith,5
Illinois,Leon Smith,2
Illinois,Everette Stephens,2
Illinois,Awvee Storey,3
Illinois,Barry Sumpter,1
Illinois,Jay Taylor,1
Illinois,Mike Taylor,1
Illinois,Isiah Thomas*,13
Illinois,Andy Toolson,2
Illinois,Alando Tucker,3
Illinois,Evan Turner,7
Illinois,Kelvin Upshaw,3
Illinois,Darnell Valentine,9
Illinois,Fred VanVleet,1
Illinois,Dwyane Wade,14
Illinois,Andre Wakefield,2
Illinois,Antoine Walker,12
Illinois,Darrell Walker,10
Illinois,Lloyd Walton,5
Illinois,Jerome Whitehead,11
Illinois,Donald Whiteside,2
Illinois,Jeff Wilkins,6
Illinois,Aaron Williams,14
Illinois,Frank Williams,3
Illinois,Justin Williams,2
Illinois,Mike Williams,1
Illinois,Voise Winters,1
Illinois,Julian Wright,4
Indiana,Tom Abernethy,5
Indiana,Steve Alford,4
Indiana,Kent Benson,11
Indiana,Larry Bird*,13
Indiana,Jim Bradley,3
Indiana,Junior Bridgeman,12
Indiana,Roger Burkman,1
Indiana,Don Buse,13
Indiana,Calbert Cheaney,13
Indiana,Robert Churchwell,1
Indiana,Louie Dampier*,12
Indiana,Branden Dawson,1
Indiana,Larry Demic,3
Indiana,Clyde Dickey,1
Indiana,Jay Edwards,1
Indiana,Darrell Elston,2
Indiana,Yogi Ferrell,1
Indiana,Tellis Frank,5
Indiana,Winston Garland,7
Indiana,Dan Godfread,2
Indiana,Eric Gordon,9
Indiana,Greg Graham,5
Indiana,Jim Grandholm,1
Indiana,Scott Haffner,2
Indiana,A.J. Hammons,1
Indiana,Jerome Harmon,1
Indiana,Gary Harris,3
Indiana,Gordon Hayward,7
Indiana,Alan Henderson,12
Indiana,George Hill,9
Indiana,Robbie Hummel,2
Indiana,Chris Hunter,1
Indiana,Demetrius Jackson,1
Indiana,Jared Jeffries,11
Indiana,JaJuan Johnson,1
Indiana,Charles Jordan,1
Indiana,Bill Keller,7
Indiana,Shawn Kemp,14
Indiana,Jimmy King,2
Indiana,Allen Leavell,10
Indiana,Courtney Lee,9
Indiana,Goose Ligon,7
Indiana,Willie Long,3
Indiana,Kyle Macy,7
Indiana,Dave Magley,1
Indiana,Walter McCarty,10
Indiana,Mitch McGary,2
Indiana,George McGinnis,11
Indiana,Roy McPipe,1
Indiana,Josh McRoberts,10
Indiana,Brad Miller,14
Indiana,Eric Montross,8
Indiana,E'Twaun Moore,6
Indiana,Rick Mount,5
Indiana,Lee Nailon,6
Indiana,Craig Neal,2
Indiana,Bill Newton,2
Indiana,Andre Owens,2
Indiana,Wayne Pack,1
Indiana,Marshall Plumlee,1
Indiana,Mason Plumlee,4
Indiana,Miles Plumlee,5
Indiana,Kevin Pritchard,4
Indiana,Wayne Radford,1
Indiana,Zach Randolph,16
Indiana,Glenn Robinson,3
Indiana,Glenn Robinson,11
Indiana,Billy Shepherd,3
Indiana,Dexter Shouse,1
Indiana,Jerry Sichting,10
Indiana,Scott Skiles,10
Indiana,Larry Steele,9
Indiana,Jeff Teague,8
Indiana,Marquis Teague,2
Indiana,Ray Tolbert,5
Indiana,Monte Towe,2
Indiana,Bonzi Wells,10
Indiana,Bob Wilkerson,7
Indiana,Bobby Wilson,4
Indiana,Randy Wittman,9
Indiana,Mike Woodson,11
Indiana,Cody Zeller,4
Iowa,Harrison Barnes,5
Iowa,Ryan Bowen,10
Iowa,Matt Bullard,11
Iowa,Nick Collison,13
Iowa,Darren Daye,5
Iowa,Al Eberhard,4
Iowa,Kenny Fields,4
Iowa,Matt Fish,3
Iowa,Bob Hansen,9
Iowa,Kirk Hinrich,13
Iowa,Jon Koncak,11
