draft_pick,player,category
53.0,DeAndre Liggins,6.0
53.0,Colton Iverson,6.0
53.0,Kadeem Allen,6.0
54.0,Willie Warren,6.0
54.0,Kay Felder,6.0
54.0,Alec Peters,6.0
55.0,E'Twaun Moore,6.0
55.0,Semaj Christon,6.0
55.0,Nigel Williams-Goss,6.0
55.0,Darius Johnson-Odom,6.0
55.0,Patrick Mills,6.0
55.0,Marcus Paige,6.0
56.0,Devyn Marble,6.0
56.0,Branden Dawson,6.0
56.0,Daniel Hamilton,6.0
56.0,Peyton Siva,6.0
58.0,Robbie Hummel,6.0
58.0,Jordan McRae,6.0
58.0,Derrick Caracter,6.0
58.0,J.P. Tokoto,6.0
58.0,Deshaun Thomas,6.0
59.0,Jaron Blossomgame,6.0
59.0,Xavier Thames,6.0
59.0,Marcus Denmon,6.0
59.0,Stanley Robinson,6.0
59.0,Isaiah Cousins,6.0
60.0,Isaiah Thomas,6.0
60.0,Cory Jefferson,6.0
